D_YEAR,Approval_Status,CountOfApproval_Status
2017,Closed,18
2017,Partial Received,2
2017,Rejected,7
2017,Shipping Details Complete,11
2017,Supply Details Complete,16
2018,Closed,47
2018,Partial Received,2
2018,Partial Shipment,2
2018,Pending Approval,1
2018,Rejected,156
2018,Shipping Details Complete,67
2018,Supply Details Complete,1294
2019,Approved,1
2019,Partial Shipment,3
2019,Rejected,71
2019,Shipping Details Complete,38
2019,Supply Details Complete,1472
2020,Partial Shipment,12
2020,Rejected,178
2020,Shipping Details Complete,487
2020,Supply Details Complete,1279
2021,Closed,7
2021,Partial Received,1
2021,Partial Shipment,49
2021,Rejected,289
2021,Shipping Details Complete,1513
2021,Supply Details Complete,1522
2022,Partial Shipment,46
2022,Rejected,395
2022,Shipping Details Complete,1022
2022,Supply Details Complete,1936
2023,Approved,16
2023,Partial Shipment,10
2023,Pending Approval,5
2023,Rejected,540
2023,Shipping Details Complete,1061
2023,Supply Details Complete,2275
2024,Pending Approval,75
2024,Rejected,301
2024,Supply Details Complete,1174
